user_id,monthly_fee,subtract/add2,1056.16,sub
0,8333.33,sub
13,8333.33,add
2,1056.16,sub
0,1056.16,add
5,950.0,sub
0,950.0,add
9,5320.42,sub
0,5320.42,add
10,4750.0,sub
0,4750.0,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
0,8333.33,sub
13,8333.33,add
2,1056.16,sub
0,1056.16,add
5,950.0,sub
0,950.0,add
9,5320.42,sub
0,5320.42,add
10,4750.0,sub
0,4750.0,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
0,8333.33,sub
13,8333.33,add
2,1056.16,sub
0,1056.16,add
5,950.0,sub
0,950.0,add
9,5320.42,sub
0,5320.42,add
10,4750.0,sub
0,4750.0,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
0,8333.33,sub
13,8333.33,add
2,1056.16,sub
0,1056.16,add
5,950.0,sub
0,950.0,add
9,5320.42,sub
0,5320.42,add
10,4750.0,sub
0,4750.0,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
0,8333.33,sub
13,8333.33,add
2,1056.16,sub
0,1056.16,add
5,950.0,sub
0,950.0,add
9,5320.42,sub
0,5320.42,add
10,4750.0,sub
0,4750.0,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
0,8333.33,sub
13,8333.33,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
9,5320.42,sub
0,5320.42,add
11,212.82,sub
0,212.82,add
14,8016.09,sub
0,8016.09,add
0,87.5,sub
3,87.5,add
0,1934.17,sub
4,1934.17,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
2,1056.16,sub
0,1056.16,add
14,8016.09,sub
0,8016.09,add
0,5105.99,sub
7,5105.99,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
0,215.86,sub
8,215.86,add
